NAME,Population,Households,Receipt of SNAP,Public Assist,ZIP,Type,Primary City,State,County
ZCTA5 97622,335,166,58,58,97622,PO BOX,Bly,OR,Klamath County
ZCTA5 97623,2672,1161,240,240,97623,STANDARD,Bonanza,OR,Klamath County
ZCTA5 97710,102,52,0,0,97710,STANDARD,Fields,OR,Harney County
ZCTA5 97720,4383,1944,401,406,97720,STANDARD,Burns,OR,Harney County
ZCTA5 97735,48,37,0,0,97735,PO BOX,Fort Rock,OR,Lake County
ZCTA5 97360,2415,901,209,218,97360,STANDARD,Mill City,OR,Linn County
ZCTA5 97362,4322,1540,239,239,97362,STANDARD,Mount Angel,OR,Marion County
ZCTA5 97367,10023,4514,808,824,97367,STANDARD,Lincoln City,OR,Lincoln County
ZCTA5 97370,8861,3314,260,283,97370,STANDARD,Philomath,OR,Benton County
ZCTA5 97380,2272,818,261,261,97380,STANDARD,Siletz,OR,Lincoln County
ZCTA5 97456,3056,1200,218,218,97456,STANDARD,Monroe,OR,Benton County
ZCTA5 97632,1731,531,106,110,97632,STANDARD,Malin,OR,Klamath County
ZCTA5 97865,1511,680,99,99,97865,STANDARD,Mount Vernon,OR,Grant County
ZCTA5 97873,274,140,8,9,97873,STANDARD,Seneca,OR,Grant County
ZCTA5 97876,1034,357,34,34,97876,STANDARD,Summerville,OR,Union County
ZCTA5 97880,367,167,53,62,97880,PO BOX,Ukiah,OR,Umatilla County
ZCTA5 97886,990,348,67,67,97886,STANDARD,Weston,OR,Umatilla County
ZCTA5 97901,710,269,36,36,97901,STANDARD,Adrian,OR,Malheur County
ZCTA5 97903,21,10,0,0,97903,STANDARD,Brogan,OR,Malheur County
ZCTA5 97420,27906,12092,2801,2853,97420,STANDARD,Coos Bay,OR,Coos County
ZCTA5 97040,1725,616,22,22,97040,STANDARD,Mosier,OR,Wasco County
ZCTA5 97132,29851,10602,881,964,97132,STANDARD,Newberg,OR,Yamhill County
ZCTA5 97232,14140,7996,790,993,97232,STANDARD,Portland,OR,Multnomah County
ZCTA5 97033,42,26,0,0,97033,PO BOX,Kent,OR,Sherman County
ZCTA5 97333,23493,9775,1062,1108,97333,STANDARD,Corvallis,OR,Benton County
ZCTA5 97377,827,297,0,0,97377,STANDARD,Shedd,OR,Linn County
ZCTA5 97423,6521,3006,585,621,97423,STANDARD,Coquille,OR,Coos County
ZCTA5 97837,83,57,0,0,97837,STANDARD,Hereford,OR,Baker County
ZCTA5 97856,357,205,34,34,97856,STANDARD,Long Creek,OR,Grant County
ZCTA5 97205,7679,5286,1515,1545,97205,STANDARD,Portland,OR,Multnomah County
ZCTA5 97301,57194,19310,5657,6034,97301,STANDARD,Salem,OR,Marion County
ZCTA5 97375,1241,395,31,50,97375,STANDARD,Scotts Mills,OR,Marion County
ZCTA5 97429,881,355,61,61,97429,STANDARD,Days Creek,OR,Douglas County
ZCTA5 97467,5017,2242,407,407,97467,STANDARD,Reedsport,OR,Douglas County
ZCTA5 97541,1720,691,203,203,97541,STANDARD,Trail,OR,Jackson County
ZCTA5 97450,508,272,25,25,97450,STANDARD,Langlois,OR,Curry County
ZCTA5 97451,464,167,14,14,97451,STANDARD,Lorane,OR,Lane County
ZCTA5 97479,9876,4410,811,860,97479,STANDARD,Sutherlin,OR,Douglas County
ZCTA5 97498,1830,868,86,86,97498,STANDARD,Yachats,OR,Lincoln County
ZCTA5 97525,4293,1909,204,253,97525,STANDARD,Gold Hill,OR,Jackson County
ZCTA5 97635,164,94,28,28,97635,STANDARD,New Pine Creek,OR,Modoc County
ZCTA5 97641,1440,783,116,116,97641,PO BOX,Christmas Valley,OR,Lake County
ZCTA5 97701,74255,29648,2498,2619,97701,STANDARD,Bend,OR,Deschutes County
ZCTA5 97722,54,25,0,0,97722,STANDARD,Diamond,OR,Harney County
ZCTA5 97733,462,239,81,81,97733,STANDARD,Crescent,OR,Klamath County
ZCTA5 97737,467,236,23,23,97737,STANDARD,Gilchrist,OR,Klamath County
ZCTA5 97741,12791,4430,1507,1535,97741,STANDARD,Madras,OR,Jefferson County
ZCTA5 97750,340,157,18,18,97750,STANDARD,Mitchell,OR,Wheeler County
ZCTA5 97756,39342,15252,2474,2690,97756,STANDARD,Redmond,OR,Deschutes County
ZCTA5 97760,7364,3076,369,380,97760,STANDARD,Terrebonne,OR,Jefferson County
ZCTA5 97906,262,95,12,12,97906,STANDARD,Harper,OR,Malheur County
ZCTA5 97913,5007,1777,430,434,97913,STANDARD,Nyssa,OR,Malheur County
ZCTA5 97015,24332,9403,1293,1345,97015,STANDARD,Clackamas,OR,Clackamas County
ZCTA5 97037,805,399,67,67,97037,STANDARD,Maupin,OR,Wasco County
ZCTA5 97065,626,275,56,56,97065,STANDARD,Wasco,OR,Sherman County
ZCTA5 97113,14689,4919,368,450,97113,STANDARD,Cornelius,OR,Washington County
ZCTA5 97123,49522,16231,1851,2065,97123,STANDARD,Hillsboro,OR,Washington County
ZCTA5 97133,4948,1813,76,85,97133,STANDARD,North Plains,OR,Washington County
ZCTA5 97138,10799,4700,846,1022,97138,STANDARD,Seaside,OR,Clatsop County
ZCTA5 97326,1397,489,72,72,97326,STANDARD,Blodgett,OR,Benton County
ZCTA5 97204,1162,512,234,234,97204,STANDARD,Portland,OR,Multnomah County
ZCTA5 97212,28770,11547,1056,1270,97212,STANDARD,Portland,OR,Multnomah County
ZCTA5 97215,17354,7356,762,820,97215,STANDARD,Portland,OR,Multnomah County
ZCTA5 97321,27131,10407,1310,1393,97321,STANDARD,Albany,OR,Linn County
ZCTA5 97350,149,54,14,18,97350,STANDARD,Idanha,OR,Marion County
ZCTA5 97814,12269,5275,930,941,97814,STANDARD,Baker City,OR,Baker County
ZCTA5 97835,421,180,19,19,97835,STANDARD,Helix,OR,Umatilla County
ZCTA5 97867,975,368,102,115,97867,STANDARD,North Powder,OR,Union County
ZCTA5 97874,431,184,25,27,97874,STANDARD,Spray,OR,Wheeler County
ZCTA5 97905,91,44,29,29,97905,PO BOX,Durkee,OR,Baker County
ZCTA5 97907,546,238,72,72,97907,STANDARD,Huntington,OR,Baker County
ZCTA5 97918,4533,1652,411,428,97918,STANDARD,Vale,OR,Malheur County
ZCTA5 97850,17388,7071,1544,1632,97850,STANDARD,La Grande,OR,Union County
ZCTA5 97864,260,168,15,15,97864,STANDARD,Monument,OR,Grant County
ZCTA5 97910,626,214,17,36,97910,STANDARD,Jordan Valley,OR,Malheur County
ZCTA5 97004,3964,1651,75,95,97004,STANDARD,Beavercreek,OR,Clackamas County
ZCTA5 97017,3787,1245,232,246,97017,STANDARD,Colton,OR,Clackamas County
ZCTA5 97021,1283,553,51,53,97021,STANDARD,Dufur,OR,Wasco County
ZCTA5 97845,2152,1062,197,197,97845,STANDARD,John Day,OR,Grant County
ZCTA5 97825,336,170,9,9,97825,STANDARD,Dayville,OR,Grant County
ZCTA5 97838,26071,8938,1836,1854,97838,STANDARD,Hermiston,OR,Umatilla County
ZCTA5 97842,91,54,6,6,97842,STANDARD,Imnaha,OR,Wallowa County
ZCTA5 97848,236,90,2,2,97848,STANDARD,Kimberly,OR,Grant County
ZCTA5 97883,2256,974,144,152,97883,STANDARD,Union,OR,Union County
ZCTA5 97885,1244,519,54,54,97885,STANDARD,Wallowa,OR,Wallowa County
ZCTA5 97914,19281,5945,1859,1887,97914,STANDARD,Ontario,OR,Malheur County
ZCTA5 97029,313,115,24,28,97029,STANDARD,Grass Valley,OR,Sherman County
ZCTA5 97001,385,82,29,42,97001,PO BOX,Antelope,OR,Wasco County
ZCTA5 97013,24396,8505,1075,1187,97013,STANDARD,Canby,OR,Clackamas County
ZCTA5 97022,3918,1532,228,228,97022,STANDARD,Eagle Creek,OR,Clackamas County
ZCTA5 97002,6418,2270,273,306,97002,STANDARD,Aurora,OR,Marion County
ZCTA5 97005,27393,11850,1965,2069,97005,STANDARD,Beaverton,OR,Washington County
ZCTA5 97011,813,370,36,36,97011,STANDARD,Brightwood,OR,Clackamas County
ZCTA5 97018,1696,715,45,45,97018,STANDARD,Columbia City,OR,Columbia County
